"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准變更日期"
"78","04640491","豐誠建材有限公司","新北市板橋區縣民大道3段121巷5號","陳光弘","5000000","1100503"
"79","04686854","成裕貿易股份有限公司","臺北市大安區信義路4段256號5樓之1","周錦源","10000000","1100527"
"80","04690267","天業工程股份有限公司","臺北市松山區南京東路4段75號6樓","楊錦麟","20000000","1100520"
"81","04691569","住安建築股份有限公司","臺北市大安區敦化南路2段38號8樓","胡景翔","28000000","1100524"
"82","04695235","台灣國際造船股份有限公司","高雄市小港區中鋼路3號","鄭文隆","9230554930","1100524"
"83","04732203","川源股份有限公司","新北市汐止區環河街206號","周銘麒","75000000","1100510"
"84","04768362","忠泰毛刷股份有限公司","臺北市內湖區安康路148號","劉方絹","10000000","1100519"
"85","04784911","福泉工程股份有限公司","臺北市松山區富錦街89號1樓","黃素玲","60000000","1100507"
"86","04786431","志祥精密工業股份有限公司","臺北市信義區中坡南路180號2樓","林水金","198000000","1100526"
"87","04788402","名品股份有限公司","臺北市內湖區南京東路6段348號9樓","洪淑珍","10000000","1100505"
"88","04838276","整合股份有限公司","新北市新莊區化成路403巷4號","梁元文","117720000","1100504"
"89","04904459","珅億金屬有限公司","新北市新店區雙城路60巷30之2號","吳克敵","13000000","1100524"
"90","04921056","全坤建設開發股份有限公司","新北市三重區碧華里集賢路201-1號1樓","李勇毅","2245505300","1100524"
"91","04926876","隴華電子股份有限公司","臺北市松山區八德路3段32號15樓","王光祥","214930000","1100503"
"92","04940244","興南鋁業股份有限公司","新北市八里區忠孝路168號1樓","陳坤山","6000000","1100525"
"93","04940785","金錩工業股份有限公司","新北市三重區萬全街15號","何素馨","150000000","1100507"
"94","04950571","超藝造園有限公司","臺北市大安區復興南路2段200號8樓","詹成吉","5000000","1100514"
"95","04970464","住佳室內裝修設計工程有限公司","臺北市大安區信義路4段187號8樓","楊許文義","15000000","1100505"
"96","04980505","汎新企業股份有限公司","臺北市內湖區陽光街321巷18號","許祥和","200000000","1100528"
"97","05052322","第一商業銀行股份有限公司","臺北市中正區重慶南路1段30號","邱月琴","89064000000","1100511"
"98","05129011","晉權企業股份有限公司","臺北市中山區復興北路62號7樓之3","蘇書弘","10000000","1100506"
"99","05136293","政義貨運股份有限公司","高雄市林園區成功街56號1樓","田宛蓉","18000000","1100527"
"100","05144152","金金國際事業有限公司","臺北市萬華區洛陽街9號9樓","謝采伶","10000000","1100510"
"101","05155853","研華股份有限公司","臺北市內湖區瑞光路26巷20弄1號","劉克振","7726405110","1100520"
"102","05159470","惠貿電子股份有限公司","新北市新店區民權路108之2號4樓","朱鎮鏘","100000010","1100507"
"103","05196545","京彥企業有限公司","臺北市中正區林森北路5巷12號5樓","陳哲世","7000000","1100520"
"104","05420136","南忠工業股份有限公司","臺南市麻豆區埤頭里埤頭20之10號","李忠茂","10000000","1100505"
"105","05432409","證議實業股份有限公司","新北市汐止區福德一路351巷20號","藍坤海","5000000","1100504"
"106","05513845","鼐成興業股份有限公司","桃園市中壢區正光二街82號4樓","羅晨維","8000000","1100506"
"107","05514181","世聚股份有限公司","桃園市龜山區萬壽路一段611號3樓之5","陳麗莉","11000000","1100507"
"108","05710212","穩靜企業股份有限公司","臺北市大安區敦化南路2段207號37樓","徐旭東","54678000","1100524"
"109","05714195","遠百企業股份有限公司","新北市板橋區貴興路101號","徐旭東","877440000","1100524"
"110","05717448","神東艾仕得塗料系統股份有限公司","臺北市中山區中山北路2段52號11樓之2","立元秀和","100000000","1100519"
"111","05718122","詠昊人身保險代理人股份有限公司","臺北市松山區南京東路4段25號10樓之1","孫芳文","12919000","1100526"
"112","05834683","三元氣體有限公司","臺中市烏日區烏日里大同六街31弄17號1樓","楊媛","8000000","1100520"
"113","05837730","介大保利龍實業股份有限公司","臺中市霧峰區五福里五福路559號","曾揮煌","10000000","1100503"
"114","05838246","環隴工業股份有限公司","臺中市大里區仁化里仁化路758號1樓","賴素珍","16000000","1100526"
"115","05871201","財本企業有限公司","臺中市東勢區新盛里東關路六段627號1樓","許志鈴","26000000","1100524"
"116","06773663","宏榮冷凍企業股份有限公司","高雄市前鎮區漁港南一路5號","黃仿佑","29000000","1100512"
"117","07155339","有萬科技股份有限公司","臺北市南港區三重路19之2號9樓","高東海","351775300","1100517"
"118","07192904","明台產物保險股份有限公司","臺北市大安區仁愛路4段1號","長瀬 耕一 KOICHI NAGASE","2535930000","1100528"
"119","07205416","東明纖維工業股份有限公司","桃園市蘆竹區內厝里長興路3段219巷13號","郭哲宇","167400000","1100514"
"120","07277023","光電貿易股份有限公司","臺北市南港區興南街64巷6弄7號地下","許鳳娥","28000000","1100511"
"121","07299407","建華機械股份有限公司","臺北市中山區中山北路3段32號6樓607室","陳仁來","67000000","1100520"
"122","07342811","祥全兄弟貿易有限公司","臺北市大同區長安西路303號4樓之2","盧正祥","12600000","1100506"
"123","07450418","新美光股份有限公司","新北市土城區中山路56號","李正美","600000000","1100507"
"124","07524903","台灣森永製菓股份有限公司","臺北市北投區中央南路2段22號","塚本知一","354000000","1100525"
"125","07548308","龍口食品企業股份有限公司","臺北市大安區敦化南路1段376號12樓之2","張中光","80000000","1100525"
"126","07621763","裕有興業股份有限公司","臺北市士林區文昌路173號1樓","杜佳晉","12000000","1100517"
"127","07621813","溢泰運輸有限公司","桃園市桃園區敬三街36號10樓","謝政成","8000000","1100527"
"128","07648995","惠亞工程股份有限公司","臺北市中正區仁愛路1段23巷15號","黃建德","120000000","1100519"
"129","07665810","欣橋機械股份有限公司","臺北市大同區重慶北路3段139號5樓","陳樹立","100000000","1100505"
"130","07666563","登強五金工業有限公司","臺北市大同區承德路3段198巷5號1樓","周和勝","5000000","1100528"
